User_ID,Category,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g),Sugars (g),Sodium (mg),Cholesterol (mg),Meal_Type,Water_Intake (ml),age,gender,zip_code
995,Vegetables,501,12.2,27.9,2.0,5.2,20.0,512,109,Lunch,792,52,Male,1027
954,Dairy,207,9.1,84.6,14.0,2.9,9.6,74,76,Snack,438,18,Male,4801
453,Snacks,326,47.2,71.9,9.2,6.0,19.6,758,2,Lunch,728,20,Female,3019
789,Dairy,247,11.9,81.3,19.6,3.0,17.0,665,113,Lunch,969,23,Female,2063
879,Beverages,547,15.9,49.6,2.2,9.9,10.5,364,81,Breakfast,174,18,Female,3015
933,Snacks,154,31.1,47.6,38.5,1.2,16.5,356,152,Breakfast,890,39,Female,1026
421,Dairy,568,27.5,63.4,25.4,1.6,9.5,360,20,Snack,927,61,Female,1034
99,Dairy,537,32.5,43.5,8.6,1.2,4.2,911,100,Breakfast,227,40,Male,3564
91,Snacks,354,37.1,59.3,6.7,0.5,1.9,121,51,Breakfast,992,48,Male,2536
967,Vegetables,187,36.6,98.3,1.2,8.8,21.0,326,136,Lunch,529,55,Female,3062
236,Fruits,271,13.7,89.5,33.8,8.0,3.9,509,289,Snack,728,76,Male,3408
216,Vegetables,568,36.2,93.4,47.4,4.6,40.2,891,10,Lunch,902,62,Male,8911
37,Fruits,275,40.1,45.6,48.9,4.0,33.4,301,130,Dinner,566,49,Male,3552
878,Beverages,553,8.0,95.0,15.5,2.4,24.7,847,208,Dinner,426,54,Female,2565
520,Meat,65,21.7,87.9,15.5,1.5,23.6,57,114,Dinner,396,19,Female,9711
728,Fruits,396,16.2,30.0,8.3,3.6,30.3,474,144,Breakfast,369,18,Female,1351
442,Snacks,210,13.4,92.6,1.6,5.7,8.7,514,261,Dinner,169,30,Female,3577
554,Snacks,226,35.1,55.6,31.6,7.9,39.6,81,71,Snack,531,42,Female,3051
235,Grains,513,3.1,42.0,37.3,9.2,8.5,120,45,Lunch,171,55,Female,3069
802,Vegetables,218,34.2,6.4,8.7,8.1,0.0,628,217,Breakfast,353,27,Male,3057
260,Dairy,144,17.5,66.4,43.0,0.3,44.1,720,174,Snack,683,51,Female,1037
732,Grains,168,6.4,70.5,20.4,2.4,9.3,293,221,Dinner,982,66,Female,1118
46,Dairy,124,18.4,7.5,1.4,2.3,47.1,569,92,Snack,215,41,Male,2581
75,Grains,571,20.3,83.7,10.0,0.8,27.1,812,286,Breakfast,717,43,Male,2572
766,Meat,597,36.0,86.6,40.2,7.0,11.1,939,219,Breakfast,466,58,Female,3040
91,Beverages,97,8.7,76.1,18.4,0.8,24.9,885,92,Snack,644,22,Female,3058
659,Grains,415,44.5,25.4,7.1,9.3,22.8,427,65,Lunch,927,41,Male,2005
775,Grains,531,44.4,88.8,45.7,1.3,7.9,739,55,Lunch,836,53,Male,1099
35,Dairy,176,36.5,70.7,14.9,3.0,41.7,370,23,Dinner,589,65,Male,3506
378,Grains,144,22.3,39.6,28.2,4.3,1.7,232,205,Breakfast,738,79,Male,2519
17,Meat,535,41.3,70.7,30.1,10.0,49.5,934,279,Lunch,806,76,Male,1111
57,Fruits,250,47.1,19.1,37.1,8.7,44.7,686,246,Snack,696,37,Female,3419
226,Beverages,436,13.1,51.4,24.4,0.1,43.7,123,213,Dinner,918,42,Female,2012
248,Beverages,415,21.8,12.9,17.1,1.7,16.9,687,27,Snack,443,30,Male,3409
118,Grains,547,33.8,76.9,28.7,7.6,9.5,16,125,Breakfast,245,31,Male,3506
398,Meat,538,13.5,78.0,7.3,0.5,3.1,177,49,Snack,522,71,Female,2572
681,Meat,246,1.4,45.6,21.3,2.0,35.7,258,39,Dinner,425,58,Female,2596
368,Fruits,449,34.3,24.8,35.2,2.8,5.4,966,20,Lunch,824,71,Male,3579
938,Grains,286,39.9,94.4,44.4,9.2,22.9,935,45,Snack,613,26,Male,2082
25,Meat,192,12.1,28.7,32.3,2.3,48.0,325,186,Snack,802,75,Female,2531
836,Snacks,412,4.2,26.5,15.1,4.3,8.4,80,95,Lunch,762,45,Female,3510
180,Meat,275,6.5,8.9,39.5,6.7,2.1,917,267,Breakfast,632,25,Male,2584
709,Grains,86,40.1,5.2,27.0,1.9,19.0,30,166,Snack,715,24,Male,1055
374,Snacks,107,30.9,59.8,12.4,1.9,32.0,918,211,Breakfast,659,48,Female,2009
178,Meat,482,28.0,90.7,44.8,9.0,0.9,713,127,Snack,317,69,Male,2521
94,Vegetables,520,5.8,21.8,42.6,7.3,12.3,517,282,Dinner,943,71,Male,4461
261,Grains,79,32.1,68.7,38.7,2.1,43.4,456,214,Lunch,299,33,Female,3223
330,Vegetables,183,28.6,6.6,18.9,6.8,40.3,481,273,Dinner,483,25,Female,2542
751,Beverages,342,30.8,27.5,23.1,5.8,1.4,173,211,Breakfast,491,23,Male,1009
296,Beverages,244,4.7,41.9,5.0,6.3,2.5,651,25,Lunch,463,66,Male,3073
375,Dairy,52,15.8,58.7,12.3,5.4,33.1,162,248,Lunch,126,59,Female,3051
870,Snacks,210,30.1,95.0,7.0,0.4,41.2,432,147,Snack,629,69,Female,2061
350,Snacks,373,22.2,55.8,17.4,6.3,8.4,396,220,Snack,761,65,Male,3076
962,Vegetables,378,46.1,98.2,23.2,9.6,48.1,642,26,Dinner,757,78,Male,1010
110,Beverages,416,12.1,26.1,41.2,3.4,42.5,644,182,Breakfast,451,52,Male,2015
959,Fruits,566,15.7,38.5,23.3,5.3,44.8,423,36,Dinner,287,39,Female,3070
15,Meat,493,7.7,39.1,31.0,2.1,15.3,945,216,Dinner,170,59,Female,3062
284,Dairy,182,41.3,58.2,23.9,9.3,10.4,717,82,Breakfast,967,30,Male,3415
679,Vegetables,366,31.4,75.1,9.5,6.2,7.0,105,186,Snack,163,31,Female,2611
199,Snacks,332,40.0,70.4,44.3,0.1,36.1,13,159,Snack,589,53,Female,1036
934,Grains,383,40.5,90.6,13.0,0.4,11.8,10,249,Lunch,263,55,Female,1011
345,Dairy,410,41.8,95.7,7.2,0.9,19.9,525,77,Breakfast,359,65,Male,2006
336,Meat,186,35.2,15.6,3.5,9.3,19.0,435,84,Dinner,164,24,Male,4811
687,Vegetables,78,5.8,85.9,19.8,1.6,31.4,584,9,Breakfast,539,63,Male,3408
949,Vegetables,78,14.8,39.7,39.5,7.4,4.9,219,141,Dinner,635,62,Female,3522
484,Fruits,568,45.6,22.4,8.4,0.4,36.4,776,205,Breakfast,770,52,Female,2553
301,Beverages,473,30.3,60.1,25.9,5.0,0.2,622,190,Dinner,657,55,Female,3414
71,Vegetables,497,34.6,91.7,4.9,3.6,11.8,78,240,Dinner,848,75,Male,3536
957,Snacks,269,48.0,35.8,32.9,3.4,41.6,335,50,Breakfast,505,78,Male,2022
603,Snacks,410,46.8,24.7,4.1,4.4,25.3,81,149,Lunch,151,29,Male,2543
942,Fruits,57,15.1,48.3,8.6,8.8,28.8,627,50,Snack,749,23,Female,9791
696,Snacks,575,28.1,10.4,11.4,6.9,30.4,439,160,Breakfast,954,44,Female,4802
167,Meat,52,45.8,48.2,46.1,3.4,20.0,885,298,Snack,117,71,Female,2528
497,Snacks,395,8.2,27.1,49.0,0.3,19.3,436,232,Breakfast,718,79,Male,2023
673,Vegetables,576,10.9,83.8,40.9,9.3,13.1,72,94,Snack,972,67,Male,2586
373,Dairy,428,26.5,58.1,13.9,3.2,31.1,16,280,Lunch,835,19,Female,2528
545,Snacks,580,43.1,65.0,42.6,4.7,22.1,814,14,Breakfast,669,49,Female,1019
59,Vegetables,394,24.4,36.1,22.9,9.6,42.9,425,144,Dinner,973,36,Male,2599
62,Snacks,108,38.1,48.3,38.6,7.3,38.4,256,153,Lunch,201,77,Female,2024
598,Grains,92,9.4,46.3,21.6,0.3,27.7,378,174,Breakfast,762,65,Male,6511
782,Vegetables,193,28.4,5.3,23.5,5.7,37.5,693,19,Lunch,487,27,Male,2678
378,Grains,337,42.4,93.0,29.8,8.4,43.0,635,101,Snack,707,60,Female,3409
308,Meat,330,25.5,28.4,23.9,8.5,15.1,579,131,Breakfast,141,65,Male,3568
100,Grains,280,48.4,48.9,2.8,5.5,38.4,578,17,Snack,755,29,Female,3070
2,Beverages,142,2.5,64.6,9.0,2.0,24.2,785,220,Lunch,374,38,Female,3570
692,Meat,204,33.0,94.7,41.4,4.9,45.0,664,147,Dinner,110,69,Female,3201
398,Dairy,184,38.7,37.8,38.6,8.5,34.2,694,186,Breakfast,241,67,Male,3016
553,Meat,407,1.8,11.3,16.8,2.7,46.6,647,277,Lunch,771,38,Female,8011
949,Beverages,108,16.9,60.4,33.7,9.2,15.5,256,232,Snack,437,40,Female,3550
673,Snacks,328,33.0,8.8,1.2,4.2,17.0,360,291,Snack,824,21,Female,1085
154,Fruits,421,10.0,89.5,28.7,3.7,44.1,985,259,Snack,855,40,Male,3598
529,Snacks,159,18.5,19.0,2.3,0.6,1.0,893,276,Dinner,711,68,Female,3537
307,Grains,331,45.6,60.0,45.5,7.7,42.9,749,165,Lunch,740,57,Male,2512
640,Fruits,160,26.4,72.5,39.2,9.4,40.2,418,286,Snack,783,62,Female,4802
400,Dairy,282,22.1,23.0,49.0,9.0,37.2,115,123,Lunch,187,73,Male,2583
285,Dairy,148,44.2,60.4,27.5,3.2,29.9,443,25,Dinner,209,22,Male,1018
224,Vegetables,437,9.7,36.7,10.7,5.7,30.6,812,88,Breakfast,695,79,Male,3007
550,Grains,578,33.9,10.8,26.7,2.7,49.4,742,174,Breakfast,549,40,Female,8211
709,Dairy,502,23.1,46.7,27.0,3.9,22.3,43,291,Lunch,235,74,Female,2576
99,Dairy,559,11.2,42.1,35.0,0.6,28.1,288,273,Breakfast,376,71,Male,1054
605,Snacks,509,25.4,65.4,32.9,1.3,21.4,465,246,Breakfast,980,36,Female,1090
59,Beverages,148,39.3,67.7,18.2,4.0,42.6,469,230,Dinner,935,46,Female,2021
973,Vegetables,545,32.6,87.0,24.5,1.1,47.3,58,150,Dinner,117,63,Female,2541
149,Fruits,363,4.8,30.3,38.2,5.1,28.2,230,67,Breakfast,129,30,Female,3549
790,Vegetables,51,20.6,64.4,8.0,9.3,22.5,729,99,Lunch,709,77,Female,2595
960,Meat,168,34.5,57.5,9.2,4.2,43.7,108,179,Lunch,826,35,Female,1061
456,Vegetables,236,37.6,29.6,2.5,3.8,12.4,723,212,Lunch,202,71,Male,3402
971,Grains,263,46.6,55.5,34.0,8.0,28.6,474,63,Breakfast,180,72,Male,3058
441,Fruits,595,32.5,23.8,35.1,9.3,32.0,389,278,Dinner,942,39,Male,3052
915,Fruits,412,19.7,31.9,40.5,5.2,16.9,900,224,Lunch,437,19,Male,3131
285,Snacks,95,12.3,12.1,7.9,7.7,15.1,188,296,Lunch,651,34,Male,3401
879,Dairy,230,2.4,97.0,30.9,9.3,10.3,651,202,Snack,723,28,Female,4561
712,Meat,468,18.1,60.3,36.3,7.9,9.6,4,188,Dinner,191,49,Female,2538
723,Snacks,550,46.2,14.9,14.4,4.8,0.6,723,98,Dinner,766,32,Male,3526
823,Grains,183,34.2,9.5,37.4,8.7,36.6,30,300,Snack,958,21,Male,2027
186,Fruits,296,44.3,12.6,14.6,5.4,20.8,313,205,Snack,500,66,Male,2024
641,Fruits,395,19.7,63.6,41.6,0.6,2.7,996,106,Snack,199,19,Female,2019
685,Meat,161,43.1,65.2,38.2,6.7,8.6,346,83,Breakfast,700,77,Male,3580
161,Dairy,559,35.1,72.0,1.8,6.6,27.8,883,232,Lunch,528,36,Male,3022
962,Vegetables,209,1.4,27.8,19.7,5.1,40.8,931,67,Snack,583,60,Female,3034
632,Fruits,581,10.9,74.2,9.1,1.9,42.3,81,202,Dinner,810,52,Female,2535
985,Snacks,324,16.5,53.0,12.0,7.9,19.3,127,196,Breakfast,283,43,Female,2624
547,Grains,142,14.6,21.9,41.4,2.7,46.5,947,48,Lunch,868,29,Female,2015
275,Vegetables,538,5.8,8.2,6.8,6.5,13.8,285,285,Lunch,486,65,Male,3019
477,Vegetables,223,18.6,95.6,13.0,10.0,46.3,936,153,Breakfast,231,70,Female,2082
643,Beverages,553,44.1,25.7,21.9,4.5,36.7,888,171,Dinner,455,38,Female,2597
301,Snacks,73,47.0,69.8,6.6,9.6,12.3,173,156,Lunch,817,42,Female,2544
864,Meat,308,25.4,10.5,31.8,1.3,4.4,772,291,Breakfast,835,64,Female,3553
240,Meat,557,34.3,21.5,50.0,3.0,37.6,269,48,Dinner,945,46,Male,3510
516,Beverages,277,47.5,61.2,9.1,3.4,31.0,756,264,Breakfast,220,72,Female,7423
209,Dairy,235,12.4,83.2,47.4,6.6,33.0,468,37,Lunch,383,48,Female,3568
609,Meat,158,35.9,33.3,11.6,0.1,47.0,979,12,Dinner,223,73,Male,3008
730,Fruits,73,6.0,21.1,18.5,7.1,21.1,221,168,Lunch,440,66,Female,3019
369,Snacks,244,17.9,7.8,1.5,9.4,24.5,641,256,Breakfast,388,66,Female,2512
792,Beverages,150,22.9,81.9,28.6,3.3,16.4,109,170,Snack,174,54,Female,8448
712,Beverages,537,34.9,86.3,9.7,2.7,22.9,193,70,Breakfast,802,63,Female,2591
768,Vegetables,309,36.1,91.6,26.3,5.9,22.6,295,224,Breakfast,682,66,Female,3586
121,Fruits,491,34.2,91.4,5.2,3.6,33.2,281,15,Breakfast,364,72,Female,4461
928,Fruits,516,7.5,89.1,9.2,7.6,29.2,240,106,Breakfast,792,59,Female,3547
22,Grains,190,44.5,41.1,20.3,6.9,33.0,157,78,Dinner,180,48,Female,4800
494,Grains,528,21.3,7.8,6.2,2.7,13.8,8,74,Breakfast,405,49,Female,3046
720,Meat,348,16.8,21.2,29.5,1.2,22.6,568,51,Lunch,853,73,Female,1002
677,Meat,268,48.4,29.3,15.8,8.1,18.8,720,226,Dinner,971,43,Male,3574
88,Fruits,439,20.9,11.8,20.1,2.5,2.1,94,149,Dinner,904,37,Male,8011
33,Fruits,470,28.5,27.0,22.7,5.7,10.6,126,2,Lunch,354,39,Male,1117
668,Dairy,183,29.8,56.2,13.3,9.5,4.1,7,259,Lunch,771,45,Female,7423
745,Snacks,370,25.3,18.0,18.2,8.3,15.8,140,148,Snack,125,52,Female,2555
103,Grains,345,29.8,49.6,22.7,1.4,44.3,498,64,Dinner,347,20,Male,2591
423,Snacks,454,47.2,5.2,11.4,3.1,39.5,909,271,Dinner,948,68,Male,2522
83,Dairy,299,47.2,27.3,41.2,9.9,21.8,0,107,Lunch,622,22,Female,3032
287,Beverages,98,41.6,84.4,25.2,4.7,6.8,297,286,Breakfast,512,79,Male,2539
256,Snacks,254,24.0,57.3,15.3,5.9,35.9,848,51,Lunch,393,75,Female,3011
606,Fruits,180,42.5,64.2,33.2,8.5,46.6,53,139,Breakfast,163,25,Female,1085
185,Fruits,440,46.0,18.8,6.6,4.4,32.1,428,81,Lunch,683,49,Male,1017
579,Vegetables,50,25.6,61.7,39.1,8.9,16.7,633,204,Breakfast,115,29,Female,3559
947,Vegetables,59,28.3,74.2,27.1,2.5,0.6,533,56,Breakfast,773,55,Male,3582
673,Beverages,106,44.8,34.2,40.7,3.2,32.4,416,77,Dinner,821,27,Female,1041
805,Fruits,550,41.0,37.4,23.0,1.2,26.2,563,130,Dinner,365,33,Male,3025
66,Grains,194,36.8,85.1,12.2,7.3,37.0,357,152,Dinner,348,23,Male,1068
283,Meat,432,12.6,83.9,17.4,0.2,11.6,792,82,Breakfast,813,71,Female,6525
385,Vegetables,457,33.4,80.3,30.8,2.6,16.1,279,298,Breakfast,862,30,Male,2548
853,Dairy,407,2.7,41.4,33.6,8.7,47.5,894,95,Snack,615,34,Male,9791
352,Dairy,345,24.1,66.1,45.1,2.2,40.2,161,115,Dinner,869,23,Male,1063
129,Fruits,444,37.9,21.5,1.8,8.3,3.4,404,33,Lunch,391,43,Female,2519
594,Grains,405,40.6,62.3,6.6,7.2,44.1,419,88,Breakfast,754,56,Female,1113
458,Grains,590,47.2,11.5,11.3,0.2,43.5,959,27,Dinner,701,64,Female,3059
907,Meat,315,40.3,94.3,29.4,3.0,44.4,21,224,Dinner,241,44,Female,2022
853,Dairy,492,2.5,80.1,31.2,0.9,47.9,655,253,Breakfast,210,50,Female,3070
995,Vegetables,485,24.5,68.3,35.9,3.7,35.2,204,279,Snack,964,77,Female,1060
918,Grains,556,2.2,85.6,44.0,6.1,37.6,742,37,Breakfast,584,48,Male,2541
954,Meat,64,43.3,24.1,9.3,4.1,13.4,64,90,Snack,971,50,Female,3039
181,Meat,231,35.3,96.0,47.8,1.0,41.4,937,232,Snack,647,69,Female,3533
16,Beverages,286,8.5,71.9,21.8,6.8,5.6,756,288,Lunch,264,57,Female,3009
904,Beverages,320,31.3,45.3,12.0,6.2,25.9,798,237,Dinner,912,74,Male,2000
626,Fruits,196,23.3,26.2,6.2,8.8,26.5,701,99,Breakfast,442,73,Male,3510
694,Fruits,245,41.3,95.0,29.0,6.5,23.7,940,95,Snack,554,22,Male,2007
849,Grains,382,6.0,21.2,34.3,3.0,46.0,585,211,Lunch,190,54,Female,2586
214,Snacks,304,31.0,79.8,41.8,7.9,44.2,237,235,Dinner,364,54,Female,3530
318,Grains,578,26.1,42.0,16.6,3.0,4.4,93,33,Snack,925,21,Male,2509
391,Meat,113,30.7,81.4,30.5,9.4,1.7,753,200,Dinner,433,72,Female,6511
553,Beverages,345,17.5,89.9,11.4,3.2,14.7,340,189,Dinner,578,68,Male,3040
989,Beverages,286,48.5,70.0,48.5,6.7,18.3,486,220,Snack,417,30,Female,4561
152,Fruits,459,47.5,60.1,22.6,1.8,4.5,475,153,Lunch,739,37,Female,4810
484,Meat,376,2.5,7.9,36.1,4.8,19.9,297,40,Breakfast,348,65,Male,3065
121,Grains,255,37.0,62.8,11.9,2.1,33.3,376,179,Breakfast,759,64,Female,1112
54,Fruits,502,6.1,65.6,5.3,6.5,32.0,834,251,Lunch,893,73,Male,2010
484,Vegetables,415,23.6,75.2,43.4,9.6,16.1,391,233,Breakfast,384,24,Male,2588
925,Dairy,220,39.1,10.1,19.8,6.8,23.3,149,263,Dinner,286,72,Female,3055
457,Fruits,517,32.6,73.3,43.3,1.0,28.6,906,181,Dinner,679,62,Male,3004
124,Meat,170,43.2,82.8,3.7,3.9,16.3,705,296,Breakfast,136,49,Female,2542
843,Snacks,586,47.3,70.5,41.3,3.0,31.8,964,204,Dinner,673,76,Female,3057
73,Beverages,467,22.1,23.2,4.0,0.2,13.8,627,175,Breakfast,699,59,Female,3416
878,Meat,293,17.9,26.1,24.4,3.5,46.4,61,34,Dinner,603,61,Female,3223
866,Beverages,87,45.3,66.8,22.8,1.1,11.8,183,89,Snack,610,54,Male,2019
571,Vegetables,339,28.5,16.6,18.0,5.6,40.5,98,245,Lunch,951,61,Male,9402
292,Vegetables,378,25.4,39.8,19.8,0.5,16.0,466,56,Dinner,642,49,Female,4561
832,Beverages,125,17.0,76.3,30.6,4.1,42.8,564,89,Dinner,866,71,Female,4531
617,Beverages,91,24.4,42.2,22.5,2.5,5.6,60,109,Lunch,411,29,Female,3403
713,Vegetables,424,28.5,89.0,38.1,3.0,8.2,790,1,Snack,802,28,Female,3074
338,Fruits,147,44.0,62.1,13.7,4.1,44.6,660,96,Snack,672,73,Female,1061
894,Fruits,119,44.5,73.0,6.3,2.4,20.0,667,23,Snack,454,34,Female,8441
438,Dairy,313,45.3,11.0,28.7,5.2,7.8,709,162,Dinner,476,32,Female,1114
657,Grains,115,25.8,33.5,42.7,9.8,38.3,444,200,Lunch,805,50,Female,3412
298,Vegetables,355,18.9,8.5,5.0,1.2,28.9,647,97,Dinner,740,32,Female,2611
358,Fruits,331,46.4,28.9,41.8,5.5,18.0,345,146,Breakfast,478,40,Male,1087
219,Snacks,443,15.2,39.9,46.1,6.4,25.5,556,226,Snack,671,64,Male,3039
906,Vegetables,498,27.5,91.6,25.5,2.5,13.7,745,271,Lunch,149,54,Male,1038
590,Meat,57,22.3,10.4,14.3,10.0,11.1,935,75,Lunch,320,25,Female,8449
859,Vegetables,214,37.9,31.3,33.1,5.4,44.8,281,268,Snack,456,68,Male,3034
370,Fruits,387,2.8,38.2,12.3,9.9,11.9,840,70,Dinner,169,80,Male,2585
162,Meat,296,33.0,85.7,19.6,1.5,48.5,385,242,Lunch,457,50,Female,3516
110,Meat,587,35.2,26.8,24.9,4.4,3.9,881,198,Dinner,117,60,Female,3044
693,Beverages,322,13.6,9.4,12.4,5.1,21.2,151,53,Dinner,922,75,Male,2586
332,Vegetables,519,30.2,35.0,23.8,1.1,3.4,237,1,Snack,831,25,Female,3001
951,Fruits,189,17.1,84.4,23.7,1.2,34.2,990,165,Dinner,138,66,Female,7423
819,Grains,95,25.9,74.5,12.6,4.0,5.7,564,186,Snack,536,44,Female,3029
941,Fruits,346,36.7,47.9,34.7,4.0,34.9,107,288,Dinner,639,71,Male,3811
467,Vegetables,503,40.6,6.5,46.1,4.7,16.9,278,150,Breakfast,338,74,Male,3006
312,Fruits,533,1.3,7.3,31.8,7.3,35.6,556,32,Dinner,280,76,Female,1014
7,Grains,318,36.1,48.8,4.8,6.8,11.9,302,226,Lunch,246,62,Male,3516
830,Snacks,124,19.0,42.5,10.7,6.6,39.0,239,169,Dinner,808,78,Female,1008
98,Grains,62,32.5,36.5,29.4,4.9,37.2,307,260,Lunch,774,65,Female,1075
757,Vegetables,411,38.8,58.1,35.3,9.1,38.6,997,15,Breakfast,234,44,Male,2001
522,Grains,136,11.5,17.8,16.8,6.6,20.0,175,297,Snack,624,51,Male,2611
466,Meat,193,44.0,57.6,35.1,5.8,35.2,462,209,Snack,135,52,Female,1112
734,Fruits,341,8.4,24.5,36.4,3.1,47.0,258,46,Dinner,113,22,Male,1080
587,Meat,266,18.3,19.6,31.5,2.7,14.6,842,128,Breakfast,396,32,Female,9721
565,Meat,217,42.4,96.9,17.7,3.4,19.0,821,95,Dinner,418,49,Male,1071
998,Meat,117,49.7,58.8,14.9,4.7,40.6,17,223,Snack,736,53,Female,3417
471,Fruits,408,31.1,5.3,34.3,1.3,27.8,342,226,Snack,202,60,Male,3562
181,Snacks,159,39.6,61.1,37.9,6.3,49.3,96,90,Dinner,278,59,Male,3002
606,Grains,307,6.1,99.7,8.1,7.7,17.2,614,103,Snack,994,19,Female,3590
167,Meat,228,13.7,48.8,45.7,8.7,49.5,34,235,Lunch,786,49,Female,3599
54,Vegetables,389,8.1,50.8,30.9,1.1,25.0,82,254,Breakfast,209,79,Female,4461
370,Fruits,280,36.6,28.3,11.6,0.3,39.8,201,42,Breakfast,737,57,Male,2026
210,Meat,510,6.0,89.9,40.6,4.8,14.0,487,9,Snack,108,42,Female,1081
713,Snacks,572,16.0,89.4,8.2,9.5,27.8,421,264,Dinner,409,20,Male,3543
376,Meat,193,38.5,19.8,22.9,9.5,34.1,827,82,Breakfast,348,54,Male,3520
305,Snacks,218,43.6,74.5,39.2,8.7,15.7,451,124,Dinner,230,61,Male,3575
306,Beverages,559,5.8,50.7,37.1,4.9,34.8,381,147,Dinner,659,36,Female,2591
468,Meat,452,2.9,67.5,20.1,2.0,16.3,866,154,Breakfast,388,20,Female,3516
990,Snacks,256,37.8,43.8,29.4,9.2,6.6,238,107,Lunch,835,64,Female,2061
909,Snacks,58,42.4,46.9,5.1,4.8,45.7,581,47,Dinner,377,38,Male,1010
747,Dairy,416,24.6,18.8,12.1,3.6,34.4,525,204,Breakfast,362,32,Female,2595
349,Grains,394,2.0,54.7,8.7,0.2,1.7,32,229,Dinner,940,53,Male,3046
695,Vegetables,510,38.4,95.2,29.1,1.4,21.7,282,39,Lunch,772,69,Male,5611
456,Fruits,296,6.8,20.6,11.5,1.2,39.8,107,250,Lunch,709,21,Female,3562
19,Dairy,268,36.8,55.2,13.3,0.5,19.4,233,189,Dinner,540,68,Male,2631
914,Grains,255,10.4,84.9,39.6,9.7,4.1,555,293,Dinner,867,20,Female,1062
891,Snacks,444,35.5,39.1,24.0,2.6,43.0,7,294,Breakfast,419,31,Female,2502
668,Beverages,90,38.4,34.9,15.1,5.0,29.3,171,274,Breakfast,689,78,Male,1005
295,Meat,550,29.8,82.4,37.3,3.0,46.1,425,48,Breakfast,368,58,Female,3413
172,Vegetables,309,42.6,50.6,12.3,4.7,47.5,38,226,Breakfast,655,77,Male,1074
