User_ID,Category,Calories..kcal.,Protein..g.,Carbohydrates..g.,Fat..g.,Fiber..g.,Sugars..g.,Sodium..mg.,Cholesterol..mg.,Meal_Type,Water_Intake..ml.,age,gender,zip_code
123,Fruits,169,17.0,93.8,11.8,3.3,16.3,577,174,Lunch,714,35.0,Male,2600.0
579,Grains,144,18.3,98.1,48.6,6.3,12.8,89,245,Lunch,253,20.0,Female,6220.0
376,Vegetables,444,30.3,46.7,41.6,9.0,37.1,410,111,Breakfast,926,25.0,Female,7810.0
530,Dairy,578,16.8,78.8,19.3,4.9,32.0,959,97,Dinner,248,30.0,Male,3510.0
372,Snacks,421,30.3,69.7,33.5,6.4,36.0,317,197,Breakfast,820,45.0,Female,3025.0
943,Meat,382,31.5,11.4,30.7,2.2,26.2,193,300,Snack,963,45.0,Male,3075.0
210,Grains,448,15.3,58.6,29.0,6.1,9.3,52,271,Snack,126,80.0,Male,2565.0
328,Grains,321,6.9,72.3,4.5,6.3,13.3,887,210,Lunch,937,80.0,Female,2600.0
174,Meat,328,45.7,37.8,46.1,0.4,32.2,667,196,Lunch,735,50.0,Male,3575.0
332,Meat,434,31.7,32.0,13.5,9.9,34.4,201,111,Dinner,942,50.0,Female,2570.0
309,Snacks,330,31.2,91.3,47.0,7.1,45.7,442,156,Snack,447,55.0,Male,1065.0
804,Vegetables,221,23.7,7.2,38.5,5.7,19.5,10,25,Dinner,386,40.0,Male,3565.0
692,Grains,586,10.7,91.7,17.8,5.9,29.5,382,40,Snack,211,30.0,Female,3550.0
450,Fruits,495,43.8,57.5,43.2,9.7,44.2,352,80,Lunch,499,75.0,Male,3530.0
324,Snacks,486,25.4,82.1,40.2,3.3,20.4,996,24,Breakfast,337,70.0,Female,2030.0
105,Grains,444,33.0,59.9,10.9,1.8,44.3,957,130,Snack,819,60.0,Female,3005.0
224,Vegetables,265,40.9,14.2,46.1,0.2,19.9,961,269,Lunch,802,75.0,Male,2545.0
219,Grains,68,32.9,33.6,14.5,2.8,5.9,708,113,Breakfast,834,25.0,Male,3420.0
268,Beverages,78,23.2,18.5,9.5,1.0,19.8,287,216,Lunch,645,45.0,Male,1040.0
784,Fruits,280,48.0,12.2,15.6,3.2,12.3,968,205,Dinner,697,55.0,Male,3410.0
470,Meat,484,25.7,77.6,40.9,7.8,25.3,719,133,Snack,681,50.0,Female,1090.0
269,Meat,169,32.8,68.7,40.2,4.3,43.4,456,73,Breakfast,685,25.0,Male,2560.0
668,Dairy,573,44.7,82.3,25.5,6.3,4.1,995,209,Lunch,328,25.0,Female,4820.0
652,Beverages,265,24.3,69.4,14.0,9.5,10.4,620,109,Breakfast,282,50.0,Female,2520.0
670,Fruits,392,38.2,99.7,38.7,5.5,27.9,218,19,Breakfast,739,70.0,Female,1030.0
870,Beverages,554,22.2,75.0,20.9,5.6,13.7,648,259,Lunch,395,40.0,Male,1095.0
238,Fruits,464,22.2,53.4,35.5,2.7,6.8,557,243,Lunch,565,75.0,Male,3545.0
614,Snacks,309,25.1,93.7,23.0,2.8,47.3,675,177,Breakfast,220,40.0,Male,2545.0
544,Meat,274,47.4,19.0,15.8,8.1,26.8,486,183,Dinner,294,20.0,Male,3545.0
6,Meat,141,8.8,28.3,9.3,5.9,36.0,520,17,Breakfast,397,45.0,Female,5040.0
83,Dairy,53,39.1,36.5,16.2,6.7,40.4,789,19,Breakfast,355,65.0,Male,2570.0
410,Vegetables,188,29.9,58.9,17.3,8.7,26.3,548,102,Lunch,768,25.0,Female,3060.0
680,Snacks,319,33.0,19.1,14.3,2.9,30.4,335,266,Dinner,717,40.0,Male,3560.0
468,Vegetables,92,30.7,24.9,9.5,7.6,15.1,430,82,Dinner,262,45.0,Male,3405.0
879,Dairy,230,2.5,45.7,12.5,8.2,4.3,743,257,Snack,692,65.0,Female,8460.0
890,Meat,55,11.8,44.6,25.0,3.9,32.8,614,274,Snack,371,25.0,Female,3545.0
215,Grains,74,20.5,34.3,18.5,3.8,24.0,446,80,Snack,553,25.0,Male,3580.0
357,Fruits,383,17.8,28.4,27.5,1.8,21.9,567,274,Breakfast,882,40.0,Female,3060.0
606,Snacks,199,23.2,66.4,16.2,2.9,4.1,505,162,Lunch,126,45.0,Female,2520.0
468,Vegetables,83,25.3,75.4,15.5,2.7,0.8,160,205,Lunch,266,20.0,Female,4800.0
468,Vegetables,280,11.7,37.9,46.0,0.8,49.0,720,85,Dinner,875,30.0,Female,4805.0
210,Grains,475,4.6,23.9,36.3,2.9,25.7,100,215,Snack,510,55.0,Female,3060.0
350,Snacks,326,38.3,99.5,29.8,5.1,38.1,419,128,Dinner,292,25.0,Male,3530.0
536,Fruits,105,21.0,52.1,15.5,3.2,24.8,509,280,Dinner,932,35.0,Female,1095.0
714,Meat,453,12.2,92.2,19.6,3.0,24.2,990,254,Breakfast,405,45.0,Male,1340.0
25,Grains,490,42.0,34.7,11.1,4.8,15.8,237,230,Lunch,455,70.0,Male,1095.0
295,Dairy,181,20.0,76.1,35.4,9.3,6.3,647,300,Lunch,278,25.0,Male,3530.0
719,Snacks,266,35.7,21.1,19.6,9.8,29.0,826,9,Lunch,608,25.0,Male,8910.0
37,Fruits,141,7.9,37.1,12.3,1.9,5.7,412,254,Snack,504,75.0,Male,1075.0
234,Vegetables,391,30.5,71.2,37.8,6.7,14.0,734,181,Lunch,741,30.0,Male,2540.0
814,Fruits,565,6.3,66.2,45.1,6.6,22.0,783,285,Dinner,261,40.0,Female,1000.0
805,Beverages,256,42.0,64.2,36.2,5.8,12.9,486,3,Snack,809,65.0,Male,2545.0
272,Fruits,189,20.1,6.1,41.6,7.7,6.0,375,270,Lunch,569,25.0,Female,3060.0
243,Fruits,122,41.8,48.3,16.7,7.7,23.5,359,36,Dinner,557,55.0,Female,2530.0
191,Fruits,545,42.7,36.1,29.2,5.4,20.0,201,62,Snack,736,20.0,Male,3505.0
479,Vegetables,417,41.7,25.4,39.0,0.6,3.7,500,282,Dinner,747,65.0,Male,9400.0
340,Dairy,337,39.0,6.8,3.5,5.1,17.1,927,94,Dinner,395,55.0,Male,2025.0
510,Vegetables,258,25.9,75.4,20.4,2.6,1.6,158,205,Breakfast,224,70.0,Male,8930.0
397,Dairy,180,20.5,17.0,38.3,2.9,46.0,356,219,Snack,835,30.0,Female,3020.0
648,Dairy,553,18.1,53.9,1.6,3.3,41.1,486,289,Dinner,651,25.0,Male,3555.0
698,Beverages,111,25.2,54.8,13.3,0.3,2.7,970,165,Breakfast,677,40.0,Male,1025.0
315,Beverages,359,36.3,37.4,47.0,2.1,27.8,401,59,Breakfast,591,30.0,Female,3410.0
120,Beverages,569,44.5,8.6,9.5,3.9,28.0,86,139,Dinner,868,60.0,Male,3550.0
655,Beverages,259,40.6,88.0,9.4,3.4,10.1,161,93,Breakfast,314,30.0,Female,3040.0
860,Meat,242,35.1,91.8,46.2,5.4,41.7,58,84,Lunch,638,50.0,Male,3200.0
329,Vegetables,475,4.2,28.6,48.8,3.8,27.7,684,85,Dinner,250,55.0,Male,4460.0
175,Meat,59,23.1,26.4,37.7,6.0,37.2,386,212,Snack,837,55.0,Female,3520.0
32,Meat,356,39.9,28.6,18.6,6.8,7.4,113,2,Snack,147,50.0,Male,3525.0
634,Dairy,362,21.6,70.3,48.7,9.0,33.5,355,93,Breakfast,725,70.0,Female,1040.0
338,Meat,328,10.8,5.1,21.7,4.6,37.3,718,287,Lunch,664,65.0,Female,9400.0
53,Meat,189,29.8,88.1,28.8,8.3,20.2,272,288,Dinner,292,80.0,Male,3050.0
681,Meat,334,46.4,50.2,10.1,4.0,22.3,691,47,Breakfast,122,40.0,Female,3060.0
998,Grains,231,30.8,24.1,39.9,1.7,19.2,221,194,Breakfast,839,70.0,Female,1050.0
642,Fruits,56,44.9,81.1,17.6,5.2,18.2,260,235,Snack,368,60.0,Female,3030.0
91,Snacks,178,34.7,24.9,14.1,1.2,4.7,275,266,Breakfast,757,75.0,Male,2580.0
461,Vegetables,352,3.8,32.1,15.1,4.3,22.2,628,91,Snack,587,55.0,Female,1115.0
631,Dairy,526,14.1,26.0,21.9,0.1,36.1,512,191,Snack,729,55.0,Male,2025.0
683,Fruits,386,38.2,99.7,1.9,5.7,36.2,282,235,Dinner,411,50.0,Male,2580.0
683,Vegetables,447,45.1,25.5,32.4,6.8,15.1,443,123,Dinner,399,70.0,Male,4800.0
435,Dairy,115,34.2,66.1,34.2,8.8,2.0,747,167,Breakfast,162,35.0,Female,1340.0
783,Dairy,64,46.5,48.0,49.3,8.8,43.2,161,172,Breakfast,236,30.0,Male,2555.0
61,Beverages,527,47.8,12.4,39.1,4.5,22.8,788,182,Lunch,485,55.0,Female,3040.0
765,Meat,459,24.0,28.8,17.7,2.2,15.1,263,268,Dinner,246,70.0,Male,3035.0
605,Beverages,217,41.6,82.3,34.9,9.3,48.0,315,56,Dinner,920,45.0,Female,3540.0
949,Snacks,135,40.9,32.6,33.8,2.8,26.8,561,205,Breakfast,560,60.0,Male,2555.0
984,Fruits,141,30.4,5.6,22.3,8.0,0.7,18,215,Snack,824,75.0,Female,3595.0
253,Vegetables,98,39.0,73.4,14.9,7.6,20.9,316,226,Snack,491,70.0,Female,2015.0
682,Meat,410,46.4,50.2,10.1,5.7,22.3,710,81,Dinner,291,25.0,Female,2575.0
295,Snacks,276,41.5,39.0,33.0,8.2,34.1,661,252,Snack,673,65.0,Female,2590.0
257,Dairy,105,35.3,41.2,27.5,1.1,11.6,712,181,Snack,575,60.0,Female,3080.0
198,Snacks,356,23.8,89.6,11.4,9.2,15.6,46,300,Snack,647,70.0,Male,3040.0
972,Grains,119,48.5,74.0,6.3,7.6,39.1,706,281,Breakfast,892,40.0,Female,3510.0
772,Grains,338,32.0,99.3,38.6,5.9,34.1,248,45,Breakfast,737,20.0,Male,3560.0
39,Dairy,289,42.5,7.6,13.3,6.8,44.8,151,131,Dinner,454,25.0,Male,2530.0
367,Dairy,452,26.5,79.8,42.2,7.7,3.4,931,34,Breakfast,335,70.0,Female,2565.0
469,Beverages,467,12.4,17.4,29.6,1.7,40.3,59,184,Dinner,451,55.0,Male,3510.0
367,Dairy,284,23.7,25.4,11.6,0.4,3.7,120,266,Dinner,203,65.0,Male,3010.0
605,Meat,410,32.9,83.2,46.4,8.6,41.8,48,65,Dinner,869,45.0,Male,1010.0
242,Fruits,596,4.0,81.7,17.0,4.0,14.2,573,200,Snack,221,50.0,Female,1045.0
853,Meat,289,28.9,7.5,47.2,0.6,3.2,860,254,Breakfast,778,75.0,Male,2065.0
223,Fruits,199,18.0,77.2,12.0,1.2,37.0,674,9,Lunch,507,65.0,Female,2530.0
878,Dairy,200,2.5,43.0,12.5,3.8,33.2,655,291,Breakfast,401,65.0,Female,1080.0
698,Snacks,575,34.6,75.0,9.6,1.6,25.5,741,100,Breakfast,488,25.0,Male,2630.0
886,Grains,86,26.0,25.2,24.9,5.6,0.7,836,3,Lunch,422,30.0,Female,4800.0
43,Dairy,324,11.7,10.7,15.1,0.1,36.6,6,135,Breakfast,928,50.0,Male,8440.0
723,Fruits,73,26.0,30.5,19.5,9.4,14.6,862,64,Lunch,737,65.0,Male,3555.0
784,Grains,273,39.6,66.0,15.6,0.4,13.3,26,87,Lunch,766,40.0,Female,2060.0
757,Meat,322,36.7,48.0,31.2,7.7,1.4,208,226,Breakfast,781,75.0,Female,3500.0
332,Meat,266,32.2,11.0,26.2,2.8,28.3,73,272,Dinner,468,20.0,Male,1070.0
410,Beverages,286,32.1,50.8,5.7,5.6,47.1,387,260,Dinner,754,40.0,Female,9750.0
643,Snacks,318,33.0,46.8,37.0,1.6,48.6,479,87,Dinner,771,30.0,Male,2010.0
191,Dairy,413,17.1,56.2,16.1,8.7,27.9,353,48,Snack,182,65.0,Male,3545.0
332,Dairy,393,41.8,44.4,44.9,0.6,21.3,161,214,Breakfast,452,55.0,Female,1050.0
175,Meat,482,43.1,87.2,40.1,6.7,8.3,195,212,Lunch,807,45.0,Female,2000.0
494,Beverages,352,6.8,27.3,37.7,6.1,48.1,947,8,Snack,708,45.0,Male,1050.0
162,Dairy,296,1.4,9.0,17.7,0.2,16.8,99,32,Snack,117,55.0,Male,3550.0
130,Vegetables,326,13.6,80.9,46.0,4.2,5.3,686,102,Snack,379,70.0,Female,1045.0
473,Grains,181,37.1,17.0,45.3,2.7,40.1,245,297,Snack,934,60.0,Female,2080.0
197,Meat,547,29.8,33.0,31.6,5.5,18.3,200,51,Snack,773,20.0,Female,3070.0
97,Beverages,208,36.0,90.4,2.6,2.4,45.2,100,153,Dinner,867,70.0,Female,2005.0
416,Grains,372,12.5,85.5,11.9,9.2,6.5,829,202,Lunch,577,40.0,Male,7510.0
341,Vegetables,109,3.6,15.6,9.8,8.5,42.8,435,113,Breakfast,796,40.0,Male,6510.0
119,Snacks,365,43.1,44.8,30.6,8.6,20.2,458,134,Breakfast,928,45.0,Male,3410.0
372,Vegetables,99,35.7,42.1,26.2,2.3,6.8,721,153,Snack,166,65.0,Male,2500.0
33,Fruits,530,29.5,73.4,10.7,4.5,14.0,176,45,Lunch,927,35.0,Female,1095.0
396,Fruits,397,3.4,45.9,42.6,2.6,9.2,752,279,Lunch,297,70.0,Male,1025.0
593,Beverages,164,6.8,26.9,9.7,2.0,40.4,264,136,Lunch,841,25.0,Male,3570.0
206,Fruits,434,17.6,33.4,4.0,5.5,21.9,668,37,Dinner,329,55.0,Female,4805.0
915,Dairy,282,1.7,78.8,8.1,0.3,19.3,153,105,Dinner,613,45.0,Male,3500.0
485,Vegetables,291,14.7,36.5,15.3,0.1,36.0,880,287,Lunch,910,75.0,Female,3400.0
415,Vegetables,154,27.6,72.0,22.7,1.5,22.7,251,123,Lunch,713,70.0,Male,2025.0
451,Meat,306,41.1,24.9,35.0,0.6,28.7,199,139,Snack,250,40.0,Male,3575.0
315,Beverages,359,33.7,66.4,10.0,5.0,4.2,660,47,Dinner,996,30.0,Female,3045.0
692,Vegetables,182,4.3,73.7,12.4,1.7,49.1,561,182,Breakfast,326,55.0,Male,1050.0
859,Vegetables,214,22.1,72.6,12.6,7.0,5.4,21,227,Dinner,871,50.0,Male,5210.0
32,Meat,530,41.3,41.0,15.5,4.3,22.1,499,300,Breakfast,958,30.0,Female,3410.0
915,Grains,181,10.4,18.8,2.1,4.9,37.5,323,240,Dinner,144,50.0,Male,2535.0
248,Vegetables,572,2.6,53.2,24.6,1.4,6.8,930,91,Dinner,477,55.0,Male,3505.0
454,Meat,526,45.4,24.6,37.4,3.2,4.3,732,25,Breakfast,375,60.0,Male,4815.0
91,Snacks,496,4.1,24.6,45.1,8.4,16.1,797,152,Snack,982,35.0,Male,8220.0
831,Vegetables,353,20.6,57.6,17.4,0.6,15.4,849,241,Lunch,602,55.0,Male,3045.0
196,Snacks,332,19.2,39.0,4.0,7.5,8.5,29,16,Dinner,248,30.0,Female,2525.0
550,Snacks,326,17.3,92.0,34.0,6.0,38.0,432,109,Snack,651,30.0,Male,1110.0
586,Vegetables,91,35.8,23.3,22.5,2.7,15.4,60,59,Lunch,853,25.0,Male,3050.0
